greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 28
0 0 1 1 29
0 0 2 1 63
0 0 3 1 3
0 1 0 1 24
0 1 1 1 25
0 1 2 1 12
0 1 3 1 0
0 2 0 1 13
0 2 1 1 9
0 2 2 1 8
0 2 3 1 19
0 3 0 1 5
0 3 1 1 10
0 3 2 1 6
0 3 3 1 2
1 0 0 1 44
1 0 1 1 45
1 0 2 1 61
1 0 3 1 60
1 1 0 1 40
1 1 1 1 41
1 1 2 1 20
1 1 3 1 15
1 2 0 1 21
1 2 1 1 26
1 2 2 1 4
1 2 3 1 16
1 3 0 1 22
1 3 1 1 14
1 3 2 1 17
1 3 3 1 1
2 0 0 1 54
2 0 1 1 57
2 0 2 1 62
2 0 3 1 48
2 1 0 1 37
2 1 1 1 30
2 1 2 1 58
2 1 3 1 52
2 2 0 1 36
2 2 1 1 42
2 2 2 1 43
2 2 3 1 32
2 3 0 1 39
2 3 1 1 38
2 3 2 1 23
2 3 3 1 7
3 0 0 1 56
3 0 1 1 59
3 0 2 1 55
3 0 3 1 51
3 1 0 1 53
3 1 1 1 46
3 1 2 1 47
3 1 3 1 50
3 2 0 1 34
3 2 1 1 31
3 2 2 1 33
3 2 3 1 49
3 3 0 1 18
3 3 1 1 27
3 3 2 1 11
3 3 3 1 35
