greedy_all_c
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 7
0 0 1 1 6
0 0 2 1 36
0 0 3 1 44
0 1 0 1 5
0 1 1 1 4
0 1 2 1 32
0 1 3 1 40
0 2 0 1 29
0 2 1 1 31
0 2 2 1 48
0 2 3 1 56
0 3 0 1 28
0 3 1 1 30
0 3 2 1 52
0 3 3 1 60
1 0 0 1 3
1 0 1 1 2
1 0 2 1 37
1 0 3 1 45
1 1 0 1 1
1 1 1 1 0
1 1 2 1 33
1 1 3 1 41
1 2 0 1 25
1 2 1 1 27
1 2 2 1 50
1 2 3 1 58
1 3 0 1 24
1 3 1 1 26
1 3 2 1 54
1 3 3 1 62
2 0 0 1 9
2 0 1 1 16
2 0 2 1 39
2 0 3 1 47
2 1 0 1 8
2 1 1 1 18
2 1 2 1 35
2 1 3 1 43
2 2 0 1 12
2 2 1 1 22
2 2 2 1 51
2 2 3 1 59
2 3 0 1 13
2 3 1 1 20
2 3 2 1 55
2 3 3 1 63
3 0 0 1 11
3 0 1 1 17
3 0 2 1 38
3 0 3 1 46
3 1 0 1 10
3 1 1 1 19
3 1 2 1 34
3 1 3 1 42
3 2 0 1 14
3 2 1 1 23
3 2 2 1 49
3 2 3 1 57
3 3 0 1 15
3 3 1 1 21
3 3 2 1 53
3 3 3 1 61
