fast_high_greedy
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 3
0 0 1 1 1
0 0 2 1 0
0 0 3 1 44
0 1 0 1 8
0 1 1 1 22
0 1 2 1 36
0 1 3 1 53
0 2 0 1 12
0 2 1 1 25
0 2 2 1 40
0 2 3 1 58
0 3 0 1 16
0 3 1 1 29
0 3 2 1 48
0 3 3 1 60
1 0 0 1 5
1 0 1 1 2
1 0 2 1 33
1 0 3 1 49
1 1 0 1 9
1 1 1 1 23
1 1 2 1 37
1 1 3 1 51
1 2 0 1 13
1 2 1 1 26
1 2 2 1 41
1 2 3 1 55
1 3 0 1 18
1 3 1 1 30
1 3 2 1 45
1 3 3 1 61
2 0 0 1 6
2 0 1 1 4
2 0 2 1 34
2 0 3 1 50
2 1 0 1 11
2 1 1 1 24
2 1 2 1 38
2 1 3 1 54
2 2 0 1 15
2 2 1 1 28
2 2 2 1 42
2 2 3 1 59
2 3 0 1 19
2 3 1 1 32
2 3 2 1 46
2 3 3 1 63
3 0 0 1 7
3 0 1 1 17
3 0 2 1 35
3 0 3 1 52
3 1 0 1 10
3 1 1 1 21
3 1 2 1 39
3 1 3 1 56
3 2 0 1 14
3 2 1 1 27
3 2 2 1 43
3 2 3 1 57
3 3 0 1 20
3 3 1 1 31
3 3 2 1 47
3 3 3 1 62
