greedy_graph_embedding
x_coord y_coord z_coord number_of_processes process_id(s)
0 0 0 1 17
0 0 1 1 5
0 0 2 1 21
0 0 3 1 50
0 1 0 1 1
0 1 1 1 0
0 1 2 1 30
0 1 3 1 31
0 2 0 1 18
0 2 1 1 13
0 2 2 1 3
0 2 3 1 51
0 3 0 1 36
0 3 1 1 19
0 3 2 1 14
0 3 3 1 47
1 0 0 1 20
1 0 1 1 38
1 0 2 1 28
1 0 3 1 44
1 1 0 1 4
1 1 1 1 2
1 1 2 1 42
1 1 3 1 46
1 2 0 1 16
1 2 1 1 10
1 2 2 1 57
1 2 3 1 15
1 3 0 1 23
1 3 1 1 49
1 3 2 1 48
1 3 3 1 62
2 0 0 1 22
2 0 1 1 29
2 0 2 1 52
2 0 3 1 56
2 1 0 1 6
2 1 1 1 8
2 1 2 1 54
2 1 3 1 58
2 2 0 1 9
2 2 1 1 7
2 2 2 1 45
2 2 3 1 61
2 3 0 1 26
2 3 1 1 40
2 3 2 1 35
2 3 3 1 63
3 0 0 1 25
3 0 1 1 41
3 0 2 1 39
3 0 3 1 43
3 1 0 1 37
3 1 1 1 53
3 1 2 1 27
3 1 3 1 55
3 2 0 1 33
3 2 1 1 32
3 2 2 1 12
3 2 3 1 60
3 3 0 1 24
3 3 1 1 34
3 3 2 1 11
3 3 3 1 59
